Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
K Neighbors Regressor,1095.6733,1563606.0933,1177.002,-0.5642,0.1829,0.172,0.005
Ridge Regression,993.7697,1436112.5895,1136.7777,-0.6658,0.1803,0.1629,0.003
Elastic Net,998.3019,1448875.8316,1136.9729,-0.6797,0.1791,0.1628,0.003
Dummy Regressor,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.003
Light Gradient Boosting Machine,1001.9461,1477853.664,1146.5352,-0.7379,0.1805,0.1631,0.005
Lasso Least Angle Regression,995.3736,1477237.7507,1152.4474,-0.7543,0.1845,0.1635,0.003
Lasso Regression,995.3736,1477237.8365,1152.4475,-0.7543,0.1845,0.1635,0.003
Linear Regression,995.0851,1477598.4669,1152.5818,-0.7563,0.1846,0.1635,0.213
Least Angle Regression,995.0851,1477598.5321,1152.5819,-0.7563,0.1846,0.1635,0.003
Orthogonal Matching Pursuit,995.0851,1477598.4374,1152.5818,-0.7563,0.1846,0.1635,0.003
Random Forest Regressor,1083.3947,1553604.559,1181.7366,-0.7978,0.1823,0.168,0.017
Bayesian Ridge,1047.883,1576668.4141,1187.4829,-0.8419,0.188,0.1706,0.003
AdaBoost Regressor,1064.6014,1523978.1389,1154.1229,-0.8608,0.1787,0.1659,0.003
Huber Regressor,1013.1737,1500290.0075,1166.2935,-0.8679,0.1869,0.1682,0.003
Passive Aggressive Regressor,1067.699,1612307.0313,1193.8153,-0.9488,0.1874,0.1728,0.003
Extra Trees Regressor,1127.705,1594943.2811,1218.2095,-1.3751,0.1871,0.1771,0.017
Gradient Boosting Regressor,1143.186,1680263.3043,1241.3148,-1.4174,0.1912,0.1744,0.006
Decision Tree Regressor,1159.6667,1737892.825,1260.0539,-1.5919,0.194,0.1768,0.003
