Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
ETS,0.7205,0.7595,1411.7361,1928.761,0.5546,0.3221,-0.7516,0.0133
K Neighbors w/ Cond. Deseasonalize & Detrending,0.7686,0.7557,1507.7841,1918.1288,0.4949,0.3518,-0.9423,0.04
Huber w/ Cond. Deseasonalize & Detrending,0.7774,0.7669,1523.8812,1946.673,0.5521,0.3469,-0.8913,0.02
ARIMA,0.7923,0.7281,1554.1952,1847.9124,0.4902,0.3616,-0.9077,0.3833
Auto ARIMA,0.7956,0.7271,1560.2605,1845.1945,0.4912,0.3627,-0.9181,0.3867
Lasso w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.0767
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.07
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.02
Linear w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.08
Elastic Net w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.43
Ridge w/ Cond. Deseasonalize & Detrending,0.8147,0.7692,1597.3191,1952.279,0.5454,0.3648,-0.9983,0.0767
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,0.8255,0.7688,1617.9581,1951.2216,0.5498,0.3689,-1.0052,0.02
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,0.8256,0.7689,1618.2097,1951.3163,0.5499,0.3689,-1.0055,0.03
Polynomial Trend Forecaster,0.828,0.7705,1622.8277,1955.4545,0.5512,0.3698,-1.0146,0.4867
Exponential Smoothing,0.828,0.7705,1622.832,1955.4606,0.5512,0.3698,-1.0147,0.01
Theta Forecaster,0.8287,0.7674,1624.2593,1947.6083,0.5482,0.3704,-1.0052,0.3633
Extra Trees w/ Cond. Deseasonalize & Detrending,0.8901,0.9253,1753.4553,2352.3051,0.6115,0.4208,-1.5905,0.0533
Random Forest w/ Cond. Deseasonalize & Detrending,0.9109,0.8119,1792.4164,2063.6461,0.5101,0.4267,-1.2226,0.0567
AdaBoost w/ Cond. Deseasonalize & Detrending,1.0072,0.881,1981.5216,2240.9351,0.66,0.4819,-1.2489,0.03
Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.2401,1.1275,2435.9649,2864.2542,0.6874,0.586,-3.0707,0.0267
Decision Tree w/ Cond. Deseasonalize & Detrending,1.3967,1.2296,2741.4259,3122.2508,0.7418,0.672,-4.2794,0.0267
