Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Bayesian Ridge,1039.7061,1402347.6641,1124.1863,-1.3274,1.2425,2.2699,0.003
Light Gradient Boosting Machine,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.005
Dummy Regressor,1039.7061,1402347.6619,1124.1863,-1.3274,1.2425,2.2699,0.003
Elastic Net,1040.2712,1402439.8068,1124.707,-1.3285,1.2428,2.27,0.003
Ridge Regression,1044.5514,1405179.9619,1129.2087,-1.343,1.2456,2.2704,0.003
Lasso Regression,1061.1245,1445378.015,1150.8483,-1.4571,1.2598,2.2751,0.003
Lasso Least Angle Regression,1061.1245,1445378.0214,1150.8483,-1.4571,1.2598,2.2751,0.003
Linear Regression,1060.9617,1445125.5245,1150.5328,-1.4602,1.2595,2.2731,0.245
Least Angle Regression,1060.9617,1445125.5374,1150.5329,-1.4602,1.2595,2.2731,0.003
Orthogonal Matching Pursuit,1060.9617,1445125.5189,1150.5328,-1.4602,1.2595,2.2731,0.003
Huber Regressor,1068.3536,1450765.4122,1155.8932,-1.5349,1.258,2.2133,0.003
Passive Aggressive Regressor,1116.5463,1627913.593,1220.2749,-2.0773,1.3099,2.5836,0.003
K Neighbors Regressor,1123.9533,1683060.284,1237.3235,-2.2474,1.3176,2.8103,0.005
Random Forest Regressor,1080.956,1621122.408,1213.9188,-3.5562,1.4052,2.1385,0.016
AdaBoost Regressor,1131.8102,1744484.0885,1254.0926,-3.6053,1.3515,2.0026,0.005
Extra Trees Regressor,1197.5633,1989051.1859,1343.665,-4.8007,1.7857,1.8182,0.014
Gradient Boosting Regressor,1184.4101,1993829.076,1338.2905,-5.3115,1.5469,1.8258,0.008
Decision Tree Regressor,1201.075,2054048.4625,1356.1676,-5.5762,1.7973,1.8041,0.003
