customer,date,model,input,forecast_ai,customer_demand,diff,forecast_deviation_abs
customer4.0,2025-06,rc,cd_selic_ipca,4349,,,
customer4.0,2025-07,rc,cd_selic_ipca,5383,,,
customer4.0,2025-08,rc,cd_selic_ipca,5846,,,
customer4.0,2025-09,rc,cd_selic_ipca,6525,,,
