Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
Polynomial Trend Forecaster,1.558,1.5917,1936.8191,2444.5363,0.1686,0.1434,-0.575,0.48
STLF,1.5864,1.5394,1950.2542,2341.3032,0.153,0.1369,-1.2668,0.37
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.5893,1.6372,1973.1888,2513.17,0.1722,0.1457,-0.6755,0.0367
Decision Tree w/ Cond. Deseasonalize & Detrending,1.6902,1.7045,2119.9298,2634.5775,0.1764,0.1522,-1.0345,0.0233
ARIMA,1.7071,1.6974,2102.197,2588.8005,0.1681,0.1469,-1.8055,0.3633
Random Forest w/ Cond. Deseasonalize & Detrending,1.7773,1.7286,2215.8768,2660.3075,0.1876,0.1603,-0.9091,0.06
Extra Trees w/ Cond. Deseasonalize & Detrending,1.9519,1.9881,2415.4315,3041.8838,0.2024,0.1714,-1.8126,0.06
K Neighbors w/ Cond. Deseasonalize & Detrending,1.9727,1.9135,2427.7694,2914.5585,0.2046,0.1748,-1.5796,0.0433
AdaBoost w/ Cond. Deseasonalize & Detrending,1.9803,1.975,2457.4232,3027.5046,0.2041,0.1739,-1.6798,0.0333
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,2.0525,2.1812,2535.6079,3328.7052,0.2151,0.178,-2.4308,0.0333
Gradient Boosting w/ Cond. Deseasonalize & Detrending,2.0589,2.0149,2547.7703,3083.986,0.2099,0.1793,-1.9234,0.03
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,2.0931,1.8427,2574.8373,2795.1866,0.2015,0.1807,-2.1027,0.0267
Elastic Net w/ Cond. Deseasonalize & Detrending,2.232,2.0494,2756.3391,3127.0799,0.2081,0.1852,-2.7569,0.0833
Lasso w/ Cond. Deseasonalize & Detrending,2.232,2.0494,2756.3413,3127.081,0.2081,0.1852,-2.7569,0.0267
Huber w/ Cond. Deseasonalize & Detrending,2.2413,1.9786,2741.7833,2981.5412,0.214,0.1904,-2.6297,0.44
Linear w/ Cond. Deseasonalize & Detrending,2.2786,2.0339,2815.4538,3103.0867,0.2184,0.1931,-2.7412,0.1067
Ridge w/ Cond. Deseasonalize & Detrending,2.2786,2.0339,2815.4537,3103.0866,0.2184,0.1931,-2.7412,0.0867
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,2.2896,2.1449,2829.4159,3274.9812,0.2255,0.196,-2.8651,0.4433
