Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
Theta Forecaster,0.751,0.7696,681.4705,879.5513,0.196,0.1877,-1.1196,0.01
Auto ARIMA,0.7733,0.7242,700.9392,824.7097,0.1829,0.198,-0.9511,0.06
Random Forest w/ Cond. Deseasonalize & Detrending,0.9774,0.8932,890.9209,1029.6927,0.291,0.2328,-2.7446,0.0533
Huber w/ Cond. Deseasonalize & Detrending,1.0384,0.9352,947.0631,1079.4154,0.3158,0.2447,-3.4292,0.45
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.4951,1083.8869,0.3208,0.2477,-3.3836,0.02
Lasso w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.495,1083.8868,0.3208,0.2477,-3.3836,0.07
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.495,1083.8868,0.3208,0.2477,-3.3836,0.0733
Elastic Net w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.4951,1083.8869,0.3208,0.2477,-3.3836,0.0667
Linear w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.4951,1083.8869,0.3208,0.2477,-3.3836,0.0767
Ridge w/ Cond. Deseasonalize & Detrending,1.0513,0.9392,958.4951,1083.8869,0.3208,0.2477,-3.3836,0.0767
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,1.0588,0.9388,964.7959,1083.0053,0.3223,0.2495,-3.3102,0.02
Polynomial Trend Forecaster,1.0637,0.9414,969.2589,1086.0268,0.3234,0.2506,-3.321,0.4867
K Neighbors w/ Cond. Deseasonalize & Detrending,1.0694,0.9371,973.7446,1080.4965,0.3164,0.2502,-3.2718,0.04
ETS,1.07,0.9531,975.0988,1099.0924,0.3136,0.2539,-3.3661,0.3667
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.07,0.9448,974.8671,1089.8141,0.325,0.2518,-3.3343,0.0333
Exponential Smoothing,1.3521,1.1907,1230.9892,1369.0012,0.376,0.3412,-4.8562,0.3667
ARIMA,1.4185,1.2691,1279.9059,1439.6451,0.3043,0.3765,-5.1762,0.3633
Extra Trees w/ Cond. Deseasonalize & Detrending,1.4593,1.2349,1330.7062,1427.8972,0.4373,0.3212,-7.3418,0.06
AdaBoost w/ Cond. Deseasonalize & Detrending,1.4995,1.3851,1364.7858,1594.1955,0.4517,0.322,-7.4298,0.03
Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.5044,1.2936,1370.2187,1492.5845,0.4454,0.3297,-7.5455,0.0267
Decision Tree w/ Cond. Deseasonalize & Detrending,1.7445,1.4741,1585.531,1695.0253,0.504,0.3662,-9.0545,0.0233
