Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
ARIMA,0.853,0.9198,1939.7854,2507.5559,0.4693,0.3826,-0.1772,0.3767
Auto ARIMA,0.8569,0.9217,1947.64,2512.7922,0.4716,0.3841,-0.1806,0.0267
Huber w/ Cond. Deseasonalize & Detrending,0.896,0.9475,2045.1091,2603.7632,0.5196,0.4007,-0.3695,0.02
Theta Forecaster,0.9134,0.9679,2089.38,2672.0047,0.5445,0.4072,-0.5022,0.01
Ridge w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9974,2687.1328,0.5527,0.4084,-0.5437,0.43
Elastic Net w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9975,2687.1328,0.5527,0.4084,-0.5437,0.0667
Linear w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9974,2687.1328,0.5527,0.4084,-0.5437,0.43
Lasso w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9975,2687.1329,0.5527,0.4084,-0.5437,0.44
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9974,2687.1328,0.5527,0.4084,-0.5437,0.02
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,0.9178,0.9722,2099.9975,2687.1329,0.5527,0.4084,-0.5437,0.02
Polynomial Trend Forecaster,0.921,0.9737,2107.4445,2690.3018,0.5516,0.4099,-0.5385,0.49
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,0.923,0.9765,2112.5127,2700.2333,0.5562,0.4105,-0.5603,0.02
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,0.9231,0.9766,2112.6865,2700.4204,0.5563,0.4106,-0.5605,0.03
Exponential Smoothing,0.9814,1.0393,2256.0582,2894.6236,0.6108,0.4324,-0.8572,0.01
ETS,0.9848,0.9695,2245.6895,2678.2294,0.5736,0.4379,-0.5123,0.01
Extra Trees w/ Cond. Deseasonalize & Detrending,1.0588,1.1341,2404.0745,3117.4551,0.6298,0.4518,-0.9399,0.0533
AdaBoost w/ Cond. Deseasonalize & Detrending,1.2004,1.1647,2802.7694,3311.9213,0.683,0.5263,-1.9101,0.03
K Neighbors w/ Cond. Deseasonalize & Detrending,1.213,1.1473,2815.3153,3239.8864,0.7311,0.5331,-1.627,0.0433
Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.2582,1.2577,2869.9894,3490.0672,0.7888,0.5333,-1.6273,0.0233
Random Forest w/ Cond. Deseasonalize & Detrending,1.2595,1.2703,2936.0372,3598.7191,0.7112,0.5379,-2.4238,0.0567
Decision Tree w/ Cond. Deseasonalize & Detrending,1.2836,1.3386,2925.8328,3670.6739,0.7115,0.5726,-1.635,0.02
