Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
Random Forest w/ Cond. Deseasonalize & Detrending,0.9291,0.9113,881.4153,1093.3871,7.506335854785033e+17,0.5611,0.1714,0.0533
Decision Tree w/ Cond. Deseasonalize & Detrending,0.9398,0.8836,910.3842,1097.8616,6.858512645331977e+17,0.6033,0.1626,0.02
Extra Trees w/ Cond. Deseasonalize & Detrending,1.1106,0.9464,1071.6209,1156.5216,7.614370554279699e+17,0.6698,0.0944,0.05
Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.1813,1.0104,1138.5264,1236.1012,6.729293098548947e+17,0.7077,-0.0359,0.0233
Exponential Smoothing,1.2005,1.0308,1144.3477,1249.0372,7.271779592774081e+17,0.6994,-0.0443,0.3633
Polynomial Trend Forecaster,1.2005,1.0308,1144.3456,1249.0367,7.271778920497811e+17,0.6994,-0.0443,0.48
Theta Forecaster,1.2018,1.0301,1145.4407,1248.2522,7.271764946392308e+17,0.7013,-0.0421,0.01
ETS,1.2056,1.0349,1147.7369,1253.6426,7.102208670814844e+17,0.7064,-0.052,0.01
Light Gradient Boosting w/ Cond. Deseasonalize & Detrending,1.2079,1.0344,1150.5939,1253.1731,7.15439693663072e+17,0.7058,-0.0513,0.0333
Bayesian Ridge w/ Cond. Deseasonalize & Detrending,1.2089,1.0356,1151.6028,1254.6696,7.15719875656326e+17,0.7063,-0.0538,0.02
Lasso w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.8477,1281.1439,7.476395940917585e+17,0.7143,-0.0976,0.02
Ridge w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.848,1281.1442,7.476400583026659e+17,0.7143,-0.0976,0.4233
Linear w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.848,1281.1442,7.476400597796678e+17,0.7143,-0.0976,0.0733
Lasso Least Angular Regressor w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.8477,1281.1439,7.476395940917585e+17,0.7143,-0.0976,0.02
Orthogonal Matching Pursuit w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.848,1281.1442,7.476400597796678e+17,0.7143,-0.0976,0.02
Elastic Net w/ Cond. Deseasonalize & Detrending,1.2321,1.0566,1173.8478,1281.144,7.476398062578474e+17,0.7143,-0.0976,0.4367
Huber w/ Cond. Deseasonalize & Detrending,1.2411,1.0602,1183.6988,1286.4701,7.605605085311798e+17,0.7157,-0.1051,0.0733
Auto ARIMA,1.2645,1.1245,1199.7671,1362.712,5.595851950790234e+17,0.7616,-0.2421,0.0267
ARIMA,1.2714,1.1365,1206.428,1377.6915,5.524657541412852e+17,0.7663,-0.2683,0.3567
AdaBoost w/ Cond. Deseasonalize & Detrending,1.3514,1.1267,1298.5802,1372.3804,6.747768294282802e+17,0.7657,-0.2537,0.0267
K Neighbors w/ Cond. Deseasonalize & Detrending,1.3989,1.1438,1335.3121,1389.4048,7.532329537363364e+17,0.797,-0.2871,0.04
