customer,date,model,input,forecast_ai,customer_demand,diff,forecast_deviation_abs
customer2.1,2025-06,rc,cd,5138,,,
customer2.1,2025-07,rc,cd,6250,,,
customer2.1,2025-08,rc,cd,7931,,,
customer2.1,2025-09,rc,cd,6206,,,
